,soc,Element Name,id,label,Data Value,computerization
52,13-1051,Persuasion,321,1,3.75,0.57
53,13-1051,Social Perceptiveness,321,1,3,0.57
54,13-1074,Assisting and Caring for Others,649,1,2.77,0.97
55,13-1074,"Cramped Work Space, Awkward Positions",649,1,1.2,0.97
56,13-1074,Fine Arts,649,1,0.38,0.97
57,13-1074,Finger Dexterity,649,1,1.5,0.97
58,13-1074,Manual Dexterity,649,1,2.5,0.97
59,13-1074,Negotiation,649,1,3,0.97
60,13-1074,Originality,649,1,2,0.97
61,13-1074,Persuasion,649,1,2.88,0.97
62,13-1074,Social Perceptiveness,649,1,3,0.97
63,13-1121,Assisting and Caring for Others,121,0,3.13,0.037
64,13-1121,"Cramped Work Space, Awkward Positions",121,0,1.52,0.037
65,13-1121,Fine Arts,121,0,2.2,0.037
66,13-1121,Finger Dexterity,121,0,2,0.037
67,13-1121,Manual Dexterity,121,0,2,0.037
68,13-1121,Negotiation,121,0,3.62,0.037
69,13-1121,Originality,121,0,3.62,0.037
70,13-1121,Persuasion,121,0,3.5,0.037
71,13-1121,Social Perceptiveness,121,0,3.75,0.037
72,13-1161,Assisting and Caring for Others,337,1,1.65,0.61
73,13-1161,"Cramped Work Space, Awkward Positions",337,1,1.22,0.61
74,13-1161,Fine Arts,337,1,0.68,0.61
75,13-1161,Finger Dexterity,337,1,1.75,0.61
76,13-1161,Manual Dexterity,337,1,0.12,0.61
77,13-1161,Negotiation,337,1,2.75,0.61
78,13-1161,Originality,337,1,3.38,0.61
79,13-1161,Persuasion,337,1,3.25,0.61
80,13-1161,Social Perceptiveness,337,1,3.38,0.61
81,13-2011,Assisting and Caring for Others,589,1,2.435,0.94
82,13-2011,"Cramped Work Space, Awkward Positions",589,1,1.205,0.94
83,13-2011,Fine Arts,589,1,0.095,0.94
84,13-2011,Finger Dexterity,589,1,1.435,0.94
85,13-2011,Manual Dexterity,589,1,0.19,0.94
86,13-2011,Negotiation,589,1,3.065,0.94
87,13-2011,Originality,589,1,3.19,0.94
88,13-2011,Persuasion,589,1,3.31,0.94
89,13-2011,Social Perceptiveness,589,1,3.125,0.94
90,13-2041,Assisting and Caring for Others,677,1,1.97,0.98
91,13-2041,"Cramped Work Space, Awkward Positions",677,1,1,0.98
92,13-2041,Fine Arts,677,1,0.23,0.98
93,13-2041,Finger Dexterity,677,1,2.5,0.98
94,13-2041,Manual Dexterity,677,1,1.12,0.98
95,13-2041,Negotiation,677,1,3.12,0.98
96,13-2041,Originality,677,1,2.75,0.98
97,13-2041,Persuasion,677,1,3.12,0.98
98,13-2041,Social Perceptiveness,677,1,2.75,0.98
99,13-2053,Assisting and Caring for Others,698,1,1.77,0.99
100,13-2053,"Cramped Work Space, Awkward Positions",698,1,1,0.99
101,13-2053,Fine Arts,698,1,0.27,0.99
102,13-2053,Finger Dexterity,698,1,1.62,0.99
103,13-2053,Manual Dexterity,698,1,0.75,0.99
104,13-2053,Negotiation,698,1,2.88,0.99
105,13-2053,Originality,698,1,2.75,0.99
106,13-2053,Persuasion,698,1,2.75,0.99
107,13-2053,Social Perceptiveness,698,1,3,0.99
108,13-2072,Assisting and Caring for Others,686,1,2.74,0.98
109,13-2072,"Cramped Work Space, Awkward Positions",686,1,1.01,0.98
110,13-2072,Fine Arts,686,1,0.13,0.98
111,13-2072,Finger Dexterity,686,1,1.75,0.98
112,13-2072,Manual Dexterity,686,1,0.62,0.98
113,13-2072,Negotiation,686,1,3.12,0.98
114,13-2072,Originality,686,1,2.12,0.98
115,13-2072,Persuasion,686,1,3.12,0.98
116,13-2072,Social Perceptiveness,686,1,3,0.98
117,13-2081,Assisting and Caring for Others,586,1,2.55,0.93
118,13-2081,"Cramped Work Space, Awkward Positions",586,1,1.59,0.93
119,13-2081,Fine Arts,586,1,0.23,0.93
120,13-2081,Finger Dexterity,586,1,2.12,0.93
121,13-2081,Manual Dexterity,586,1,1,0.93
122,13-2081,Negotiation,586,1,3,0.93
123,13-2081,Originality,586,1,2.75,0.93
124,13-2081,Persuasion,586,1,3.12,0.93
125,13-2081,Social Perceptiveness,586,1,3,0.93
126,17-1012,Assisting and Caring for Others,133,0,2.32,0.045
127,17-1012,"Cramped Work Space, Awkward Positions",133,0,1.14,0.045
128,17-1012,Fine Arts,133,0,3.18,0.045
129,17-1012,Finger Dexterity,133,0,2.38,0.045
130,17-1012,Manual Dexterity,133,0,1.62,0.045
131,17-1012,Negotiation,133,0,3.25,0.045
132,17-1012,Originality,133,0,3.88,0.045
133,17-1012,Persuasion,133,0,3.5,0.045
134,17-1012,Social Perceptiveness,133,0,3.62,0.045
135,17-1022,Assisting and Caring for Others,262,1,2.02,0.38
136,17-1022,"Cramped Work Space, Awkward Positions",262,1,2.045,0.38
137,17-1022,Fine Arts,262,1,0.505,0.38
138,17-1022,Finger Dexterity,262,1,2.935,0.38
139,17-1022,Manual Dexterity,262,1,2.565,0.38
140,17-1022,Negotiation,262,1,2.565,0.38
141,17-1022,Originality,262,1,3,0.38
142,17-1022,Persuasion,262,1,2.63,0.38
143,17-1022,Social Perceptiveness,262,1,2.875,0.38
144,17-2051,Assisting and Caring for Others,84,0,2.29,0.019
145,17-2051,"Cramped Work Space, Awkward Positions",84,0,1.705,0.019
146,17-2051,Fine Arts,84,0,0.395,0.019
147,17-2051,Finger Dexterity,84,0,2,0.019
148,17-2051,Manual Dexterity,84,0,0.565,0.019
149,17-2051,Negotiation,84,0,3.185,0.019
150,17-2051,Originality,84,0,3.94,0.019
151,17-2051,Persuasion,84,0,3.565,0.019
152,17-2051,Social Perceptiveness,84,0,3.315,0.019
153,17-2071,Assisting and Caring for Others,172,0,2.59,0.1
154,17-2071,"Cramped Work Space, Awkward Positions",172,0,1.46,0.1
155,17-2071,Fine Arts,172,0,0.1,0.1
156,17-2071,Finger Dexterity,172,0,2.38,0.1
157,17-2071,Manual Dexterity,172,0,1.75,0.1
158,17-2071,Negotiation,172,0,2.88,0.1
159,17-2071,Originality,172,0,3.38,0.1
160,17-2071,Persuasion,172,0,2.88,0.1
161,17-2071,Social Perceptiveness,172,0,3.12,0.1
162,17-3012,Assisting and Caring for Others,443,1,2.29,0.81
163,17-3012,"Cramped Work Space, Awkward Positions",443,1,1.11,0.81
164,17-3012,Fine Arts,443,1,0.665,0.81
165,17-3012,Finger Dexterity,443,1,2.685,0.81
166,17-3012,Manual Dexterity,443,1,1.56,0.81
167,17-3012,Negotiation,443,1,2.13,0.81
168,17-3012,Originality,443,1,3,0.81
169,17-3012,Persuasion,443,1,2.75,0.81
170,17-3012,Social Perceptiveness,443,1,2.75,0.81
171,17-3022,Assisting and Caring for Others,413,1,2.11,0.75
172,17-3022,"Cramped Work Space, Awkward Positions",413,1,1.78,0.75
173,17-3022,Fine Arts,413,1,0.54,0.75
174,17-3022,Finger Dexterity,413,1,2.38,0.75
175,17-3022,Manual Dexterity,413,1,1.88,0.75
176,17-3022,Negotiation,413,1,2.75,0.75
177,17-3022,Originality,413,1,2.88,0.75
178,17-3022,Persuasion,413,1,2.38,0.75
179,17-3022,Social Perceptiveness,413,1,2.88,0.75
180,19-1012,Assisting and Caring for Others,158,0,1.88,0.077
181,19-1012,"Cramped Work Space, Awkward Positions",158,0,1.69,0.077
182,19-1012,Fine Arts,158,0,0.52,0.077
183,19-1012,Finger Dexterity,158,0,3,0.077
184,19-1012,Manual Dexterity,158,0,1.75,0.077
185,19-1012,Negotiation,158,0,3.5,0.077
186,19-1012,Originality,158,0,3.62,0.077
187,19-1012,Persuasion,158,0,3.5,0.077
188,19-1012,Social Perceptiveness,158,0,3.38,0.077
189,19-1023,Assisting and Caring for Others,240,0,2.32,0.3
190,19-1023,"Cramped Work Space, Awkward Positions",240,0,1.81,0.3
191,19-1023,Fine Arts,240,0,0.13,0.3
192,19-1023,Finger Dexterity,240,0,2.5,0.3
193,19-1023,Manual Dexterity,240,0,1.88,0.3
194,19-1023,Negotiation,240,0,3,0.3
195,19-1023,Originality,240,0,3.12,0.3
196,19-1023,Persuasion,240,0,3,0.3
197,19-1023,Social Perceptiveness,240,0,3.12,0.3
198,19-2012,Assisting and Caring for Others,175,0,2.13,0.1
199,19-2012,"Cramped Work Space, Awkward Positions",175,0,1.73,0.1
200,19-2012,Fine Arts,175,0,0.09,0.1
201,19-2012,Finger Dexterity,175,0,2.5,0.1
202,19-2012,Manual Dexterity,175,0,0.38,0.1
203,19-2012,Negotiation,175,0,2.88,0.1
204,19-2012,Originality,175,0,5.5,0.1
205,19-2012,Persuasion,175,0,3.75,0.1
206,19-2012,Social Perceptiveness,175,0,3.25,0.1
207,19-3011,Assisting and Caring for Others,282,0,1.56,0.43
208,19-3011,"Cramped Work Space, Awkward Positions",282,0,1.04,0.43
209,19-3011,Fine Arts,282,0,0.46,0.43
210,19-3011,Finger Dexterity,282,0,1.435,0.43
211,19-3011,Manual Dexterity,282,0,0.06,0.43
212,19-3011,Negotiation,282,0,2.81,0.43
213,19-3011,Originality,282,0,3.435,0.43
214,19-3011,Persuasion,282,0,3.5,0.43
215,19-3011,Social Perceptiveness,282,0,3.065,0.43
216,21-1011,Assisting and Caring for Others,114,0,4.14,0.033
217,21-1011,"Cramped Work Space, Awkward Positions",114,0,1.52,0.033
218,21-1011,Fine Arts,114,0,1.08,0.033
219,21-1011,Finger Dexterity,114,0,1.25,0.033
220,21-1011,Manual Dexterity,114,0,0,0.033
221,21-1011,Negotiation,114,0,3.12,0.033
222,21-1011,Originality,114,0,3.25,0.033
223,21-1011,Persuasion,114,0,3.88,0.033
224,21-1011,Social Perceptiveness,114,0,4.88,0.033
225,21-1013,Assisting and Caring for Others,62,0,4.75,0.014
226,21-1013,"Cramped Work Space, Awkward Positions",62,0,1.02,0.014
227,21-1013,Fine Arts,62,0,0.36,0.014
228,21-1013,Finger Dexterity,62,0,2.12,0.014
229,21-1013,Manual Dexterity,62,0,0,0.014
230,21-1013,Negotiation,62,0,3.88,0.014
231,21-1013,Originality,62,0,3.38,0.014
232,21-1013,Persuasion,62,0,4,0.014
233,21-1013,Social Perceptiveness,62,0,5.88,0.014
234,21-2011,Assisting and Caring for Others,42,0,4.11,0.0081
235,21-2011,"Cramped Work Space, Awkward Positions",42,0,1.17,0.0081
236,21-2011,Fine Arts,42,0,2.36,0.0081
237,21-2011,Finger Dexterity,42,0,1.25,0.0081
238,21-2011,Manual Dexterity,42,0,0.5,0.0081
239,21-2011,Negotiation,42,0,3.88,0.0081
240,21-2011,Originality,42,0,3.75,0.0081
241,21-2011,Persuasion,42,0,4.38,0.0081
242,21-2011,Social Perceptiveness,42,0,5.38,0.0081
243,23-1011,Assisting and Caring for Others,115,0,2.6,0.035
244,23-1011,"Cramped Work Space, Awkward Positions",115,0,1.3,0.035
245,23-1011,Fine Arts,115,0,0.46,0.035
246,23-1011,Finger Dexterity,115,0,2,0.035
247,23-1011,Manual Dexterity,115,0,0.38,0.035
248,23-1011,Negotiation,115,0,4.25,0.035
249,23-1011,Originality,115,0,3.75,0.035
250,23-1011,Persuasion,115,0,4.5,0.035
251,23-1011,Social Perceptiveness,115,0,4,0.035
252,23-1012,Assisting and Caring for Others,276,1,1.87,0.41
253,23-1012,"Cramped Work Space, Awkward Positions",276,1,1.05,0.41
254,23-1012,Fine Arts,276,1,0,0.41
255,23-1012,Finger Dexterity,276,1,2,0.41
256,23-1012,Manual Dexterity,276,1,0,0.41
257,23-1012,Negotiation,276,1,2.62,0.41
258,23-1012,Originality,276,1,2.88,0.41
259,23-1012,Persuasion,276,1,3.5,0.41
260,23-1012,Social Perceptiveness,276,1,3.5,0.41
261,23-1023,Assisting and Caring for Others,271,0,2.56,0.4
262,23-1023,"Cramped Work Space, Awkward Positions",271,0,1.38,0.4
263,23-1023,Fine Arts,271,0,0.45,0.4
264,23-1023,Finger Dexterity,271,0,1.38,0.4
265,23-1023,Manual Dexterity,271,0,0,0.4
266,23-1023,Negotiation,271,0,4.12,0.4
267,23-1023,Originality,271,0,3.12,0.4
268,23-1023,Persuasion,271,0,4.12,0.4
269,23-1023,Social Perceptiveness,271,0,4.12,0.4
270,23-2011,Assisting and Caring for Others,609,1,2.37,0.94
271,23-2011,"Cramped Work Space, Awkward Positions",609,1,1.35,0.94
272,23-2011,Fine Arts,609,1,0,0.94
273,23-2011,Finger Dexterity,609,1,1.75,0.94
274,23-2011,Manual Dexterity,609,1,0.5,0.94
275,23-2011,Negotiation,609,1,2.5,0.94
276,23-2011,Originality,609,1,2.88,0.94
277,23-2011,Persuasion,609,1,2.88,0.94
278,23-2011,Social Perceptiveness,609,1,3.12,0.94
279,25-2011,Assisting and Caring for Others,37,0,4.11,0.0074
280,25-2011,"Cramped Work Space, Awkward Positions",37,0,1.6,0.0074
281,25-2011,Fine Arts,37,0,1.08,0.0074
282,25-2011,Finger Dexterity,37,0,1.62,0.0074
283,25-2011,Manual Dexterity,37,0,1.62,0.0074
284,25-2011,Negotiation,37,0,2.62,0.0074
285,25-2011,Originality,37,0,3.5,0.0074
286,25-2011,Persuasion,37,0,2.75,0.0074
287,25-2011,Social Perceptiveness,37,0,3.5,0.0074
288,25-2032,Assisting and Caring for Others,45,0,3.59,0.0088
289,25-2032,"Cramped Work Space, Awkward Positions",45,0,1.86,0.0088
290,25-2032,Fine Arts,45,0,1.67,0.0088
291,25-2032,Finger Dexterity,45,0,2.75,0.0088
292,25-2032,Manual Dexterity,45,0,2.5,0.0088
293,25-2032,Negotiation,45,0,3.25,0.0088
294,25-2032,Originality,45,0,3.62,0.0088
295,25-2032,Persuasion,45,0,3.75,0.0088
296,25-2032,Social Perceptiveness,45,0,3.75,0.0088
297,27-1022,Assisting and Caring for Others,89,0,2.12,0.021
298,27-1022,"Cramped Work Space, Awkward Positions",89,0,3.37,0.021
299,27-1022,Fine Arts,89,0,2.59,0.021
300,27-1022,Finger Dexterity,89,0,2.88,0.021
301,27-1022,Manual Dexterity,89,0,2.25,0.021
302,27-1022,Negotiation,89,0,3.38,0.021
303,27-1022,Originality,89,0,4.38,0.021
304,27-1022,Persuasion,89,0,3.5,0.021
305,27-1022,Social Perceptiveness,89,0,3.75,0.021
306,27-2021,Assisting and Caring for Others,234,0,2.68,0.28
307,27-2021,"Cramped Work Space, Awkward Positions",234,0,1.62,0.28
308,27-2021,Fine Arts,234,0,0.71,0.28
309,27-2021,Finger Dexterity,234,0,3,0.28
310,27-2021,Manual Dexterity,234,0,3.25,0.28
311,27-2021,Negotiation,234,0,2.38,0.28
312,27-2021,Originality,234,0,3,0.28
313,27-2021,Persuasion,234,0,2.5,0.28
314,27-2021,Social Perceptiveness,234,0,3,0.28
315,27-3042,Assisting and Caring for Others,526,1,2.07,0.89
316,27-3042,"Cramped Work Space, Awkward Positions",526,1,1.02,0.89
317,27-3042,Fine Arts,526,1,0.23,0.89
318,27-3042,Finger Dexterity,526,1,1.88,0.89
319,27-3042,Manual Dexterity,526,1,1,0.89
320,27-3042,Negotiation,526,1,2.38,0.89
321,27-3042,Originality,526,1,3,0.89
322,27-3042,Persuasion,526,1,2.88,0.89
323,27-3042,Social Perceptiveness,526,1,2.75,0.89
324,29-1021,Assisting and Caring for Others,19,0,4.65,0.0044
325,29-1021,"Cramped Work Space, Awkward Positions",19,0,3.36,0.0044
326,29-1021,Fine Arts,19,0,0.68,0.0044
327,29-1021,Finger Dexterity,19,0,4.75,0.0044
328,29-1021,Manual Dexterity,19,0,4.62,0.0044
329,29-1021,Negotiation,19,0,3.12,0.0044
330,29-1021,Originality,19,0,3.88,0.0044
331,29-1021,Persuasion,19,0,3.88,0.0044
332,29-1021,Social Perceptiveness,19,0,3.75,0.0044
333,29-1024,Assisting and Caring for Others,141,0,4.77,0.055
334,29-1024,"Cramped Work Space, Awkward Positions",141,0,1.93,0.055
335,29-1024,Fine Arts,141,0,2.04,0.055
336,29-1024,Finger Dexterity,141,0,4.12,0.055
337,29-1024,Manual Dexterity,141,0,3.88,0.055
338,29-1024,Negotiation,141,0,2.88,0.055
339,29-1024,Originality,141,0,3,0.055
340,29-1024,Persuasion,141,0,3,0.055
341,29-1024,Social Perceptiveness,141,0,3.75,0.055
342,31-9094,Assisting and Caring for Others,523,1,2.55,0.89
343,31-9094,"Cramped Work Space, Awkward Positions",523,1,1.2,0.89
344,31-9094,Fine Arts,523,1,0,0.89
345,31-9094,Finger Dexterity,523,1,2.88,0.89
346,31-9094,Manual Dexterity,523,1,2,0.89
347,31-9094,Negotiation,523,1,1.25,0.89
348,31-9094,Originality,523,1,1.62,0.89
349,31-9094,Persuasion,523,1,1.38,0.89
350,31-9094,Social Perceptiveness,523,1,2.75,0.89
351,35-1011,Assisting and Caring for Others,169,0,2.85,0.1
352,35-1011,"Cramped Work Space, Awkward Positions",169,0,2.63,0.1
353,35-1011,Fine Arts,169,0,1.31,0.1
354,35-1011,Finger Dexterity,169,0,2.88,0.1
355,35-1011,Manual Dexterity,169,0,3,0.1
356,35-1011,Negotiation,169,0,3.5,0.1
357,35-1011,Originality,169,0,3.38,0.1
358,35-1011,Persuasion,169,0,3.5,0.1
359,35-1011,Social Perceptiveness,169,0,3.75,0.1
360,35-2011,Assisting and Caring for Others,441,1,2.98,0.81
361,35-2011,"Cramped Work Space, Awkward Positions",441,1,1.77,0.81
362,35-2011,Fine Arts,441,1,0.38,0.81
363,35-2011,Finger Dexterity,441,1,2,0.81
364,35-2011,Manual Dexterity,441,1,2.75,0.81
365,35-2011,Negotiation,441,1,1.75,0.81
366,35-2011,Originality,441,1,1.62,0.81
367,35-2011,Persuasion,441,1,2,0.81
368,35-2011,Social Perceptiveness,441,1,2.62,0.81
369,35-3031,Assisting and Caring for Others,592,0,3.46,0.94
370,35-3031,"Cramped Work Space, Awkward Positions",592,0,1.7,0.94
371,35-3031,Fine Arts,592,0,0.44,0.94
372,35-3031,Finger Dexterity,592,0,2.38,0.94
373,35-3031,Manual Dexterity,592,0,2.88,0.94
374,35-3031,Negotiation,592,0,2.12,0.94
375,35-3031,Originality,592,0,2.12,0.94
376,35-3031,Persuasion,592,0,2.12,0.94
377,35-3031,Social Perceptiveness,592,0,2.75,0.94
378,35-9021,Assisting and Caring for Others,424,1,3.42,0.77
379,35-9021,"Cramped Work Space, Awkward Positions",424,1,1.58,0.77
380,35-9021,Fine Arts,424,1,0.76,0.77
381,35-9021,Finger Dexterity,424,1,2.25,0.77
382,35-9021,Manual Dexterity,424,1,3.5,0.77
383,35-9021,Negotiation,424,1,1.75,0.77
384,35-9021,Originality,424,1,1.88,0.77
385,35-9021,Persuasion,424,1,2,0.77
386,35-9021,Social Perceptiveness,424,1,2.25,0.77
387,37-2012,Assisting and Caring for Others,381,0,3.01,0.69
388,37-2012,"Cramped Work Space, Awkward Positions",381,0,1.97,0.69
389,37-2012,Fine Arts,381,0,0.01,0.69
390,37-2012,Finger Dexterity,381,0,2.12,0.69
391,37-2012,Manual Dexterity,381,0,2.38,0.69
392,37-2012,Negotiation,381,0,1.62,0.69
393,37-2012,Originality,381,0,1.5,0.69
394,37-2012,Persuasion,381,0,1.88,0.69
395,37-2012,Social Perceptiveness,381,0,2.12,0.69
396,39-3011,Assisting and Caring for Others,639,1,2.97,0.96
397,39-3011,"Cramped Work Space, Awkward Positions",639,1,1.42,0.96
398,39-3011,Fine Arts,639,1,0.06,0.96
399,39-3011,Finger Dexterity,639,1,2.88,0.96
400,39-3011,Manual Dexterity,639,1,3.12,0.96
401,39-3011,Negotiation,639,1,2.75,0.96
402,39-3011,Originality,639,1,2.25,0.96
403,39-3011,Persuasion,639,1,2.88,0.96
404,39-3011,Social Perceptiveness,639,1,2.88,0.96
405,39-5012,Assisting and Caring for Others,176,0,3.93,0.11
406,39-5012,"Cramped Work Space, Awkward Positions",176,0,1.07,0.11
407,39-5012,Fine Arts,176,0,0.34,0.11
408,39-5012,Finger Dexterity,176,0,3.75,0.11
409,39-5012,Manual Dexterity,176,0,3.75,0.11
410,39-5012,Negotiation,176,0,2.38,0.11
411,39-5012,Originality,176,0,3.12,0.11
412,39-5012,Persuasion,176,0,2.75,0.11
413,39-5012,Social Perceptiveness,176,0,3.12,0.11
414,39-6012,Assisting and Caring for Others,211,0,3.77,0.21
415,39-6012,"Cramped Work Space, Awkward Positions",211,0,1.42,0.21
416,39-6012,Fine Arts,211,0,1.77,0.21
417,39-6012,Finger Dexterity,211,0,1.88,0.21
418,39-6012,Manual Dexterity,211,0,1.12,0.21
419,39-6012,Negotiation,211,0,2.62,0.21
420,39-6012,Originality,211,0,3,0.21
421,39-6012,Persuasion,211,0,2.75,0.21
422,39-6012,Social Perceptiveness,211,0,3,0.21
423,39-9011,Assisting and Caring for Others,163,0,4.465,0.084
424,39-9011,"Cramped Work Space, Awkward Positions",163,0,1.725,0.084
425,39-9011,Fine Arts,163,0,0.91,0.084
426,39-9011,Finger Dexterity,163,0,2.315,0.084
427,39-9011,Manual Dexterity,163,0,2.19,0.084
428,39-9011,Negotiation,163,0,2.75,0.084
429,39-9011,Originality,163,0,3,0.084
430,39-9011,Persuasion,163,0,3.065,0.084
431,39-9011,Social Perceptiveness,163,0,3.565,0.084
432,41-2011,Assisting and Caring for Others,657,1,3.44,0.97
433,41-2011,"Cramped Work Space, Awkward Positions",657,1,1.02,0.97
434,41-2011,Fine Arts,657,1,0.25,0.97
435,41-2011,Finger Dexterity,657,1,2.25,0.97
436,41-2011,Manual Dexterity,657,1,2.12,0.97
437,41-2011,Negotiation,657,1,2.12,0.97
438,41-2011,Originality,657,1,2.12,0.97
439,41-2011,Persuasion,657,1,2.12,0.97
440,41-2011,Social Perceptiveness,657,1,2.62,0.97
441,43-2011,Assisting and Caring for Others,631,1,3.47,0.96
442,43-2011,"Cramped Work Space, Awkward Positions",631,1,1.11,0.96
443,43-2011,Fine Arts,631,1,0.01,0.96
444,43-2011,Finger Dexterity,631,1,2.12,0.96
445,43-2011,Manual Dexterity,631,1,1.75,0.96
446,43-2011,Negotiation,631,1,1.88,0.96
447,43-2011,Originality,631,1,1.75,0.96
448,43-2011,Persuasion,631,1,1.88,0.96
449,43-2011,Social Perceptiveness,631,1,2.88,0.96
450,43-4041,Assisting and Caring for Others,667,1,2.625,0.97
451,43-4041,"Cramped Work Space, Awkward Positions",667,1,1.58,0.97
452,43-4041,Fine Arts,667,1,0.01,0.97
453,43-4041,Finger Dexterity,667,1,1.94,0.97
454,43-4041,Manual Dexterity,667,1,0.5,0.97
455,43-4041,Negotiation,667,1,2.56,0.97
456,43-4041,Originality,667,1,1.94,0.97
457,43-4041,Persuasion,667,1,2.56,0.97
458,43-4041,Social Perceptiveness,667,1,2.94,0.97
459,43-4071,Assisting and Caring for Others,662,1,2.84,0.97
460,43-4071,"Cramped Work Space, Awkward Positions",662,1,1.42,0.97
461,43-4071,Fine Arts,662,1,1.09,0.97
462,43-4071,Finger Dexterity,662,1,2.88,0.97
463,43-4071,Manual Dexterity,662,1,2,0.97
464,43-4071,Negotiation,662,1,2.12,0.97
465,43-4071,Originality,662,1,2.75,0.97
466,43-4071,Persuasion,662,1,2.12,0.97
467,43-4071,Social Perceptiveness,662,1,2.25,0.97
468,43-4161,Assisting and Caring for Others,532,1,3.29,0.9
469,43-4161,"Cramped Work Space, Awkward Positions",532,1,1.28,0.9
470,43-4161,Fine Arts,532,1,0.01,0.9
471,43-4161,Finger Dexterity,532,1,1.38,0.9
472,43-4161,Manual Dexterity,532,1,0,0.9
473,43-4161,Negotiation,532,1,2.5,0.9
474,43-4161,Originality,532,1,2.25,0.9
475,43-4161,Persuasion,532,1,2.75,0.9
476,43-4161,Social Perceptiveness,532,1,3.38,0.9
477,43-5021,Assisting and Caring for Others,599,1,2.59,0.94
478,43-5021,"Cramped Work Space, Awkward Positions",599,1,1.85,0.94
479,43-5021,Fine Arts,599,1,0,0.94
480,43-5021,Finger Dexterity,599,1,2.5,0.94
481,43-5021,Manual Dexterity,599,1,2.75,0.94
482,43-5021,Negotiation,599,1,1.75,0.94
483,43-5021,Originality,599,1,1.88,0.94
484,43-5021,Persuasion,599,1,1.75,0.94
485,43-5021,Social Perceptiveness,599,1,2.38,0.94
486,43-5041,Assisting and Caring for Others,485,1,2.55,0.85
487,43-5041,"Cramped Work Space, Awkward Positions",485,1,3.52,0.85
488,43-5041,Fine Arts,485,1,0.1,0.85
489,43-5041,Finger Dexterity,485,1,2.38,0.85
490,43-5041,Manual Dexterity,485,1,2.5,0.85
491,43-5041,Negotiation,485,1,2.12,0.85
492,43-5041,Originality,485,1,2,0.85
493,43-5041,Persuasion,485,1,2.12,0.85
494,43-5041,Social Perceptiveness,485,1,2.12,0.85
495,43-9021,Assisting and Caring for Others,691,1,2.38,0.99
496,43-9021,"Cramped Work Space, Awkward Positions",691,1,1.78,0.99
497,43-9021,Fine Arts,691,1,0.22,0.99
498,43-9021,Finger Dexterity,691,1,3,0.99
